a,011
b,110001
c,11100
d,10011
e,000
f,0010100
g,001011
h,0010101
i,1111
j,10100
k,10101
l,110000
m,10110
n,0101
o,1101
p,10010
r,11001
s,0100
t,0011
u,00100
w,11101
y,10111
z,1000
