a,1111
b,1011101
c,0101
d,10001
e,1101
f,1011100
g,100111
h,100110
i,001
j,10000
k,10010
l,101111
m,10110
n,1010
o,1100
p,01001
r,0110
s,11100
t,0000
u,01000
w,11101
y,0001
z,1000
